Transaction ID,Type,Date,Pickup Date,Reference,Mode,FBA ID,Ship Name,Container,SKU,Warehouse,Notes
TRX-VGLOBAL-1743724800000-161,SHIP,2025-04-04,2025-04-06,"216 Ctns - VGlobal FBA15K636C58",,FBA15K636C58,"",,CS 007,VGLOBAL,""
TRX-VGLOBAL-1743724800000-163,SHIP,2025-04-04,2025-04-06,"216 Ctns - VGlobal FBA15K636C58",,FBA15K636C58,"",,CS 011,VGLOBAL,""
TRX-VGLOBAL-1743724800000-162,SHIP,2025-04-04,2025-04-06,"216 Ctns - VGlobal FBA15K636C58",,FBA15K636C58,"",,CS 007,VGLOBAL,""
TRX-VGLOBAL-1742515200000-159,SHIP,2025-03-21,2025-03-23,"20 Ctns-Vglobal - FBA15K4SRQVN",,FBA15K4SRQVN,"",,CS 008,VGLOBAL,""
TRX-VGLOBAL-1742515200000-160,SHIP,2025-03-21,2025-03-23,"20 Ctns-Vglobal - FBA15K4SRQVN",,FBA15K4SRQVN,"",,CS 009,VGLOBAL,""
TRX-4AS-1742169600000-158,SHIP,2025-03-17,2025-03-19,"(SPD) - FBA15K42D344 - 80 Boxes",SPD,FBA15K42D344,"",,CS-CDS-002,4AS,""
TRX-VGLOBAL-1740700800000-153,SHIP,2025-02-28,2025-03-02,"304 Ctns - Mix SKU -Vglobal",,,"",,CS 008,VGLOBAL,""
TRX-VGLOBAL-1740700800000-151,SHIP,2025-02-28,2025-03-01,"304 Ctns - Mix SKU -Vglobal",,,"",,CS 011,VGLOBAL,""
TRX-VGLOBAL-1740700800000-150,SHIP,2025-02-28,2025-03-01,"304 Ctns - Mix SKU -Vglobal",,,"",,CS 007,VGLOBAL,""
TRX-VGLOBAL-1740700800000-155,SHIP,2025-02-28,2025-03-02,"304 Ctns - Mix SKU -Vglobal",,,"",,CS 009,VGLOBAL,""
TRX-VGLOBAL-1740700800000-154,SHIP,2025-02-28,2025-03-01,"304 Ctns - Mix SKU -Vglobal",,,"",,CS 010,VGLOBAL,""
TRX-VGLOBAL-1740700800000-152,SHIP,2025-02-28,2025-03-01,"304 Ctns - Mix SKU -Vglobal",,,"",,CS 011,VGLOBAL,""
TRX-VGLOBAL-1740700800000-157,SHIP,2025-02-28,2025-03-01,"304 Ctns - Mix SKU -Vglobal",,,"",,CS-CDS-001,VGLOBAL,""
TRX-VGLOBAL-1740700800000-156,SHIP,2025-02-28,2025-03-02,"304 Ctns - Mix SKU -Vglobal",,,"",,CS 012,VGLOBAL,""
TRX-4AS-1740441600000-148,SHIP,2025-02-25,2025-02-26,"LTL Pickup -- Batch 4 - FBA15K1ZY9VG",LTL,FBA15K1ZY9VG,"",,CS-CDS-001,4AS,""
TRX-4AS-1740441600000-149,SHIP,2025-02-25,2025-02-27,"LTL Pickup -- Batch 4 - FBA15K1ZY9VG",LTL,FBA15K1ZY9VG,"",,CS-CDS-002,4AS,""
TRX-4AS-1740096000000-147,SHIP,2025-02-21,2025-02-22,"Small parcel delivery (SPD) - UPS Pickup",SPD,,"",,CS-CDS-002,4AS,""
TRX-VGLOBAL-1739145600000-141,SHIP,2025-02-10,2025-02-10,"198 Ctns - Mix SKU - Vglobal",,,"",,CS 007,VGLOBAL,""
TRX-VGLOBAL-1739145600000-146,SHIP,2025-02-10,2025-02-12,"198 Ctns - Mix SKU - Vglobal",,,"",,CS-CDS-001,VGLOBAL,""
TRX-VGLOBAL-1739145600000-145,SHIP,2025-02-10,2025-02-11,"198 Ctns - Mix SKU - Vglobal",,,"",,CS 012,VGLOBAL,""
TRX-VGLOBAL-1739145600000-144,SHIP,2025-02-10,2025-02-12,"198 Ctns - Mix SKU - Vglobal",,,"",,CS 009,VGLOBAL,""
TRX-VGLOBAL-1739145600000-143,SHIP,2025-02-10,2025-02-12,"198 Ctns - Mix SKU - Vglobal",,,"",,CS 009,VGLOBAL,""
TRX-VGLOBAL-1739145600000-142,SHIP,2025-02-10,2025-02-10,"198 Ctns - Mix SKU - Vglobal",,,"",,CS 011,VGLOBAL,""
TRX-FMC-1738540800000-140,SHIP,2025-02-03,2025-02-03,"54 Ctns - CS007 - FMC",,,"",,CS 007,FMC,""
TRX-VGLOBAL-1738195200000-138,SHIP,2025-01-30,2025-01-31,"101 Ctns - Mix SKU - Vglobal",,,"",,CS 012,VGLOBAL,""
