Transaction ID,Transaction Date,Transaction Type,Warehouse,SKU Code,Reference ID,Mode of Transportation,Ship Name,Container Number,Notes,Extracted Carrier,Extracted Transport Mode,Extracted FBA ID,Extracted Box Count,Extracted Tracking,Extracted Batch,Extracted Invoice,Reference Format Type,Has Structured Data
TRX-4AS-1742169600000-158,2025-03-16,SHIP,4AS,CS-CDS-002,"(SPD) - FBA15K42D344 - 80 Boxes",,,,"",,SPD,FBA15K42D344,80,,,,FBA-SHIPMENT,YES
TRX-VGLOBAL-1740700800000-153,2025-02-27,SHIP,VGlobal,CS 008,"304 Ctns - Mix SKU -Vglobal",,,,"",,,,304,,,,OTHER,YES
TRX-VGLOBAL-1740700800000-150,2025-02-27,SHIP,VGlobal,CS 007,"304 Ctns - Mix SKU -Vglobal",,,,"",,,,304,,,,OTHER,YES
TRX-VGLOBAL-1740700800000-151,2025-02-27,SHIP,VGlobal,CS 011,"304 Ctns - Mix SKU -Vglobal",,,,"",,,,304,,,,OTHER,YES
TRX-VGLOBAL-1740700800000-155,2025-02-27,SHIP,VGlobal,CS 009,"304 Ctns - Mix SKU -Vglobal",,,,"",,,,304,,,,OTHER,YES
TRX-VGLOBAL-1740700800000-154,2025-02-27,SHIP,VGlobal,CS 010,"304 Ctns - Mix SKU -Vglobal",,,,"",,,,304,,,,OTHER,YES
TRX-VGLOBAL-1740700800000-152,2025-02-27,SHIP,VGlobal,CS 011,"304 Ctns - Mix SKU -Vglobal",,,,"",,,,304,,,,OTHER,YES
TRX-VGLOBAL-1740700800000-157,2025-02-27,SHIP,VGlobal,CS-CDS-001,"304 Ctns - Mix SKU -Vglobal",,,,"",,,,304,,,,OTHER,YES
TRX-VGLOBAL-1740700800000-156,2025-02-27,SHIP,VGlobal,CS 012,"304 Ctns - Mix SKU -Vglobal",,,,"",,,,304,,,,OTHER,YES
TRX-4AS-1740441600000-148,2025-02-24,SHIP,4AS,CS-CDS-001,"LTL Pickup -- Batch 4 - FBA15K1ZY9VG",,,,"",,LTL,FBA15K1ZY9VG,,,4,,FBA-SHIPMENT,YES
TRX-4AS-1740441600000-149,2025-02-24,SHIP,4AS,CS-CDS-002,"LTL Pickup -- Batch 4 - FBA15K1ZY9VG",,,,"",,LTL,FBA15K1ZY9VG,,,4,,FBA-SHIPMENT,YES
TRX-4AS-1740096000000-147,2025-02-20,SHIP,4AS,CS-CDS-002,"Small parcel delivery (SPD) - UPS Pickup",,,,"",,SMALL_PARCEL,,,,,,OTHER,YES
TRX-VGLOBAL-1739145600000-145,2025-02-09,SHIP,VGlobal,CS 012,"198 Ctns - Mix SKU - Vglobal",,,,"",,,,198,,,,OTHER,YES
TRX-VGLOBAL-1739145600000-143,2025-02-09,SHIP,VGlobal,CS 009,"198 Ctns - Mix SKU - Vglobal",,,,"",,,,198,,,,OTHER,YES
TRX-VGLOBAL-1739145600000-141,2025-02-09,SHIP,VGlobal,CS 007,"198 Ctns - Mix SKU - Vglobal",,,,"",,,,198,,,,OTHER,YES
TRX-VGLOBAL-1739145600000-142,2025-02-09,SHIP,VGlobal,CS 011,"198 Ctns - Mix SKU - Vglobal",,,,"",,,,198,,,,OTHER,YES
